code;short name;full name;country;url
6;StL Holland;Stena Line Holland BV;NL;http://www.stenaline.nl/ferry/
10;VR;VR-Yhtymä Oy;FI;http://www.vr.fi/
12;TRFSA;Transfesa Logistics SA;ES;http://www.transfesa.com/
13;OSJD;OSJD;PL;http://osjd.org/
14;CWL;Compagnie des Wagons-Lits;FR;http://www.cwl-services.com/
15;RMF;Rail Manche Finance;GB;http://www.rmf.co.uk/
16;RD;RAILDATA;CH;http://www.raildata.coop/
17;ENS;European Night Services Ltd;GB;
18;THI Factory;THI Factory SA;BE;http://www.thalys.com/
19;Eurostar I;Eurostar International Limited;GB;http://www.eurostar.com/
20;OAO RZD;Joint Stock Company 'Russian Railways';RU;http://rzd.ru/
21;BC;Belarusian Railways;BY;http://www.rw.by/
22;UZ;Ukrainski Zaliznytsi;UA;http://uz.gov.ua/
23;CFM;Calea Ferată din Moldova;MD;http://railway.md/
24;LTG;AB 'Lietuvos geležinkeliai';LT;http://www.litrail.lt/
25;LDZ;Latvijas dzelzceļš;LV;http://www.ldz.lv/
26;EVR;Aktsiaselts Eesti Raudtee;EE;http://www.evr.ee/
27;KTZ;Kazakhstan Temir Zholy;KZ;http://www.railway.ge/
28;GR;Sakartvelos Rkinigza;GE;http://railway.ge/
29;UTI;Uzbekistan Temir Yullari;UZ;http://www.uzrailway.uz/
30;ZC;Railways of D.P.R.K.;KP;
31;UBTZ;Mongolian-Russian Joint-Stock Company “Ulaanbaatar railway”;MN;http://www.ubtz.mn
32;DSVN;đường sắt Việt Nam;VN;http://www.vr.com.vn/
33;CR;Chinese Railways;CN;http://www.chineserailways.com/
41;HSH;Hekurudha Shqiptarë SH.A.;AL;http://www.hsh.com.al/
42;JR-E;East Japan Railway Company;;
43;GySEV/Raaberbahn;Győr-Sopron-Ebenfurti Vasút Zrt.;HU;http://www2.gysev.hu/
44;ŽRS;Željeznice Republike Srpske;BA;http://www.zrs-rs.com/
50;ŽFBH;J.P. Željeznice Federacije BiH d.o.o.;BA;http://www.zfbh.ba/
51;PKP PLK S.A.;PKP Polskie Linie Kolejowe S.A.;PL;http://www.plk-sa.pl/
52;NRIC;National Railway Infrastructure Company;BG;http://rail-infra.bg/
53;CFR SA;Compania Naţională de Căi Ferate Române;RO;http://www.cfr.ro/
54;SZCZ;Správa železnic, statni organizace;CZ;https://www.spravazeleznic.cz/
55;MÁV;Magyar Államvasutak Zrt.;HU;http://www.mav.hu/
56;ŽSR;Železnice Slovenskej Republiky;SK;http://www.zsr.sk/
57;ADY;Azerbaidjan Railways CJSC;AZ;http://www.railway.gov.az/
58;CJSC SCR;South Caucasus Railway CJSC;AM;http://www.ukzhd.am/
59;KTJ;Kyrgyz Railways;KG;http://www.ktj.kg/
60;CIE;Córas Iompair Éireann;IE;http://www.cie.ie/
61;KORAIL;Korea Railroad Corporation;KR;http://www.korail.com/
63;BLS;BLS AG;CH;http://www.bls.ch/
64;FN;Ferrovienord S.p.A.;IT;www.ferrovienord.it
65;CFARYM-I;Makedonski Železnici Infrastructure-Skopje;MK;http://www.mzi.mk/
66;TDZ;Tajikistan Railways;TJ;
67;TRK;Turkmenistan Railways;TM;http://www.railway.gov.tm/
68;AAEC;AAE Ahaus Alstätter Eisenbahn Cargo AG;;
69;EUROT;EUROTUNNEL;FR;http://www.eurotunnel.com/
70;Network Rail;Network Rail Limited;GB;http://www.networkrail.co.uk/
71;ADIF;Administrator de Infraestructuras Ferroviarias;ES;http://www.adif.es/
72;IŽS;Infrastruktura Železnice Srbije;RS;http://www.zeleznicesrbije.com/
73;OSE;Organismos Sidirodromon Ellados;GR;http://www.ose.gr/
74;TRAFIKVERKET;Trafikverket;SE;http://www.trafikverket.se/
75;TCDD Taşımacılık A.Ş.;Türkiye Cumhuriyeti Devlet Demiryolları Taşımacılık Anonim Şirketi;TR;http://www.tcddtasimacilik.gov.tr/
76;BN;Bane NOR SF;NO;https://www.banenor.no
77;FS EPA;Ferrovie dello Stato Italiane SpA EPA;IT;http://www.fsitaliane.it/
78;HŽ-Infrastruktura;HŽ Infrastruktura d.o.o.;HR;http://www.hzinfra.hr/
79;SŽ - Infrastuktura, d.o.o.;Slovenske železnice - Infrastuktura, d.o.o.;SI;http://www.slo-zeleznice.si/sl/infrastruktura/
80;DB Netz AG;DB Netz AG;DE;http://fahrweg.dbnetze.com/
81;ÖBB-Holding AG;ÖBB-Holding AG;AT;http://www.oebb.at/
82;CFL Infrastructure;Societé Nationale des Chemins de Fer Luxembourgeois;LU;http://www.cfl.lu/
83;FS;Ferrovie dello Stato Italiane SpA;IT;http://www.fsitaliane.it/
84;ProRail;ProRail;NL;http://blog.prorail.nl/
85;SBB Infrastructure;Swiss Federal Railways - Infrastructure;CH;http://www.sbb.ch/sbb-konzern.html
